county_fips,svi_county,svi_location,rpl_themes,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,ep_pov150,ep_unemp,ep_nohsdp,ep_uninsur,ep_age65,ep_disabl,ep_minrty,ep_limeng,ep_noveh,ep_groupq
48271,Kinney County,"Kinney County, Texas",0.6265,0.4855,0.9313,0.9427,0.2364,30.2,1.9,15.4,13.6,24,34,64.8,6.3,3.1,7
48273,Kleberg County,"Kleberg County, Texas",0.9924,0.9936,0.8221,0.9819,0.9704,37.6,7.5,17.6,17.3,13.1,14.2,80.2,2.3,6.1,5.6
48275,Knox County,"Knox County, Texas",0.6564,0.65,0.9205,0.8171,0.189,29.6,1.6,18.2,16.1,18.6,19.8,43.8,3.2,3.4,4
48277,Lamar County,"Lamar County, Texas",0.8536,0.7856,0.9752,0.6373,0.601,26.9,3.9,12.5,19,19.3,18.9,27.6,1.2,7.1,1.5
48279,Lamb County,"Lamb County, Texas",0.8221,0.6818,0.9885,0.9332,0.3888,30.5,2.8,23.3,25.4,17.1,16.3,62.5,7.7,4.9,1.5
48281,Lampasas County,"Lampasas County, Texas",0.658,0.6774,0.8094,0.6599,0.3474,21.7,5.3,9.7,13.6,20.5,22.9,29.6,0.9,4.4,1.2
48283,La Salle County,"La Salle County, Texas",0.9128,0.9631,0.6557,0.9952,0.7356,33.8,4.2,37.6,19.7,17.3,10.1,91.4,8.2,2.5,13.8
48285,Lavaca County,"Lavaca County, Texas",0.5752,0.4184,0.8298,0.6449,0.4823,21.9,3,14.7,10.5,23.7,14.4,28.2,1.5,3.6,2.2
48287,Lee County,"Lee County, Texas",0.7856,0.6398,0.7677,0.7598,0.7983,26.2,2.8,13.5,13.8,20.5,15.6,38,2.7,4.7,2.5
48289,Leon County,"Leon County, Texas",0.6974,0.6233,0.9758,0.6102,0.2673,23.4,5.1,15.4,18.6,23.6,22.5,25.2,2.4,1.9,0.6
48291,Liberty County,"Liberty County, Texas",0.9739,0.9758,0.8053,0.8139,0.9564,30.1,6.9,21.6,24.5,12.6,16.2,43.4,5.6,4.6,6.6
48293,Limestone County,"Limestone County, Texas",0.9065,0.8196,0.9714,0.8199,0.7152,31.4,3.6,15.4,19.1,20.6,16.8,44.1,2.8,3.9,4.2
48295,Lipscomb County,"Lipscomb County, Texas",0.7703,0.6472,0.9835,0.7922,0.3388,22.5,5.9,14.9,19.9,16.7,15.3,40.8,7.9,4.3,1.6
48297,Live Oak County,"Live Oak County, Texas",0.9039,0.7665,0.7267,0.8686,0.9809,31.2,3.6,24.6,18,21.3,16.3,49.5,3.5,6.9,13.2
48299,Llano County,"Llano County, Texas",0.6192,0.6984,0.7731,0.4445,0.3452,21.5,6,8.5,14.8,37.1,21.7,15.7,1.5,3.3,1
48301,Loving County,"Loving County, Texas",0.4356,0,0.9866,0.0579,0.9828,7.3,0,3.2,0,35.4,18.8,5.2,6.8,12.5,0
48303,Lubbock County,"Lubbock County, Texas",0.8422,0.8177,0.5005,0.8632,0.8613,26.9,4.6,11.7,13.5,12.7,12.9,48.6,1.7,5.6,4.2
48305,Lynn County,"Lynn County, Texas",0.6898,0.8317,0.9459,0.8686,0.0442,37,3.6,18.6,16.7,15.8,19.7,49.5,3.1,4.2,1.1
48307,McCulloch County,"McCulloch County, Texas",0.7897,0.9154,0.8909,0.7607,0.2049,23.6,8.7,20.1,18.9,22.6,21,38.1,2.8,4.8,1.8
48309,McLennan County,"McLennan County, Texas",0.8861,0.8521,0.7951,0.8346,0.8333,28.8,4.4,13.1,14.1,14.8,13.4,45.3,3.7,5.2,3.7
48311,McMullen County,"McMullen County, Texas",0.8104,0.6933,0.9952,0.9236,0.2689,41,2.4,11.1,22.1,19.1,16.1,61.2,2.9,3,0
48313,Madison County,"Madison County, Texas",0.9131,0.714,0.6914,0.8501,0.9987,22,6.3,21.1,13.3,15.2,16.5,46.6,4.6,8.7,16.3
48315,Marion County,"Marion County, Texas",0.7315,0.7821,0.7983,0.6599,0.4088,28.2,10.7,13.3,11.6,27.1,22.3,29.6,1.2,4.9,1.1
48317,Martin County,"Martin County, Texas",0.5966,0.6618,0.6437,0.9045,0.2199,19.9,10.2,15.8,14.7,10.5,11.1,57,2.9,0,1.1
48319,Mason County,"Mason County, Texas",0.2724,0.3007,0.9115,0.5352,0.0146,13.3,2.8,15.1,11.2,31.2,18.9,20.3,3.4,3.4,0.2
48321,Matagorda County,"Matagorda County, Texas",0.9758,0.9723,0.9825,0.9122,0.7308,31.2,6.7,18.5,17.3,17.4,17.4,58.6,3.5,6.6,1
